CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;53957.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.08;Imposto de Renda e Contribuição Social sobre o Lucro;295606.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.08.01;Corrente;-9572.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.08.01;Corrente;-30890.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.08.02;Diferido;63529.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.08.02;Diferido;326496.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.09;Resultado Líquido das Operações Continuadas;556731.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.09;Resultado Líquido das Operações Continuadas;836177.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
51.466.860/0001-56;2026-03-31;1;SAO MARTINHO S.A.;020516;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.10;Resultado Líquido de Operações Descontinuadas;0.0000000000;S
